ITEM URL,IMAGE URL,NOTES,STATUS
https://www.massimodutti.com/us/cotton-blend-slim-fit-pants-l00101001?pelement=58445844,https://static.massimodutti.net/assets/public/0b67/83b3/c1f84fd3b74f/e1f1c5ab126a/00101001401-o6/00101001401-o6.jpg?ts=1773142882443&w=2400&f=auto,,live
https://www.prada.com/us/en/p/court-leather-sneakers/2EE483_070_F0009_F_G000,https://www.prada.com/content/dam/pradabkg_products/2/2EE/2EE483/070F0009/2EE483_070_F0009_F_G000_SLR.jpg/_jcr_content/renditions/cq5dam.web.hebebed.2400.2400.jpg,,live
https://www.abercrombie.com/shop/us/p/premium-ribbed-tank-61149838?categoryId=73458&faceout=model&seq=03&pagefm=navigation-grid&prodvm=navigation-grid,https://img.abercrombie.com/is/image/anf/KIC_124-5764-00037-900_model1?policy=product-extra-large,,live
https://www.quince.com/men/men-s-100-linen-pants?color=flax,https://images.quince.com/7eAGPP7q4CFhsOk9DqpQli/05c1649b0521c6e2d686e4e1c71723b9/M-PNT-16-FLAX-33489_EDITED.jpg?w=200&q=50&h=250&fm=webp&reqOrigin=website-ssr,,live
https://www.quince.com/men/mens-mesh-stitch-organic-cotton-short-sleeve-sweater-polo?color=speckled-beige&gender=men&tracker=similar_products__0__2,https://images.quince.com/6RzIOSVBe0PjasL3JJi9AI/cd7704af61a8d52f303161d209d947d4/M-LKT-93-SPKBG-03_EDITED.jpg?w=200&q=50&h=250&fm=webp&reqOrigin=website-ssr,,live
https://www.target.com/p/men-s-5-flat-front-shorts-goodfellow-co/-/A-94965145?preselect=94886502#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_4f30aa05-e862-4b91-82fb-b14c368bda9d?wid=1200&hei=1200&qlt=80,,live
https://www.birkenstock.com/us/arizona-soft-footbed-natural-leather-oiled/arizona-core-oiledleather-softfootbed-eva-u_5326.html,https://www.birkenstock.com/dw/image/v2/BLZD_PRD/on/demandware.static/-/Sites-master-catalog-amer/default/dw4dfcde85/452761/452761.jpg?sw=1148&sh=1148&sm=fit&q=65,,live
https://www.birkenstock.com/us/arizona-eva/arizona-eva-eva-0-eva-u_3716.html,https://www.birkenstock.com/dw/image/v2/BLZD_PRD/on/demandware.static/-/Sites-master-catalog-amer/default/dw6172c109/129421/129421.jpg?sw=1148&sh=1148&sm=fit&q=65,,live
https://www.prada.com/us/en/p/re-nylon-and-saffiano-leather-backpack/2VZ048_2DMG_F0002_V_OOO,https://www.prada.com/content/dam/pradabkg_products/2/2VZ/2VZ048/2DMGF0002/2VZ048_2DMG_F0002_V_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.2400.2400.jpg,,live
https://www.prada.com/us/en/p/re-nylon-and-saffiano-leather-belt-bag/2VL977_2DMG_F0002_V_WOO,https://www.prada.com/content/dam/pradanux_products/2/2VL/2VL977/2DMGF0002/2VL977_2DMG_F0002_V_WOO_SLF.png/_jcr_content/renditions/cq5dam.web.hebebed.2400.2400.jpg,,live
